,F1,F2,F3,F4,F5
AM,0.04306740861370085,0.16385538005844358,-0.13046391315479888,0.060466589496370314,-0.1254572596361734
Accruals,-0.0011627599259327423,0.006372713205921898,0.022322840074457048,-0.014958227221661556,-0.006779580542772673
AccrualsBM,-0.015358220871180824,0.2575759586077244,-0.04099333941869864,0.0937773990236102,0.04877624803741506
AdExp,-0.04037339167232171,0.11975044608799232,-0.06832206202577472,0.021659517022735025,-0.07593214172032366
AssetGrowth,-0.03407904762547765,0.1760862091466547,0.11657089349504915,-0.02771671703275622,0.01858832225690279
BM,-0.035575003334129114,0.17197845176246718,-0.006850643386688439,0.028935041123209455,-0.11419670338472823
BMdec,0.034280663838205244,0.1511713090649806,-0.03975401136320254,0.04839093166290037,-0.092261044111125
BPEBM,-0.03125435319099164,-0.04003240722719379,0.023766621105230205,-0.06795040321120525,-0.024571537630194012
Beta,-0.23778810693003388,-0.03340744206000668,0.0817507229253029,0.12919790408994383,-0.06961941676859805
BetaFP,-0.26911834569101056,-0.11681373121612813,0.001172710514751167,0.1624879257048683,-0.12698054601899994
BetaLiquidityPS,-0.014189923671855986,-0.000781042585850252,-0.007564858105204832,-0.06494705370110655,0.008729625726393957
BetaTailRisk,-0.07453422233304309,-0.028844026969203317,0.020308029946716388,0.11352725061324431,-0.04082489974263873
BidAskSpread,-0.25431306462639414,0.11745567888552878,0.020177846595225188,-0.0727955937343387,-0.0222055160472094
BookLeverage,-0.07491062626432847,-0.06704500727847186,0.06982530857090154,-0.1188721693375435,0.0774120814784861
BrandInvest,-0.1181369189490339,0.06506832417721659,0.11123305262012663,-0.170449448718667,0.012940269032782682
CBOperProf,0.08051914662325235,0.0023281903766095326,0.005905514344794501,-0.07619099161685135,0.09982165071311684
CF,0.0736388641910094,0.002008132690300468,-0.10820078352567412,0.11310507206397848,-0.049219897694885634
CashProd,0.005709980490056883,0.1182334838573169,-0.14583535014134563,0.03126892965256483,-0.033348235245112275
ChAssetTurnover,0.000754242524657112,-0.021014753514645747,-0.012461727395322851,-0.026522007261530908,-0.030492270582963957
ChEQ,-0.03470943307895556,0.11816128558757032,0.03520756652561025,-0.0614009854710447,-0.04691775363066562
ChInv,-0.007466159717903278,0.07861751663586948,0.038535139686401244,-0.014063977605088826,-0.007851815947916943
ChInvIA,-0.026955251700340452,0.02462194795614813,0.00816380106441012,-0.033027554361544795,-0.013974241296835917
ChNNCOA,0.00012509593889722573,-0.015503395242870234,0.00037245676713449125,-0.03438630884194251,-0.04286940639682716
