,F1,F2,F3,F4,F5
AM,0.04306740861370081,0.16385538005844355,-0.13046391315479883,0.0604665894963703,-0.12545725963617343
Accruals,-0.0011627599259327402,0.006372713205921901,0.022322840074457048,-0.014958227221661555,-0.006779580542772675
AccrualsBM,-0.015358220871180817,0.2575759586077244,-0.040993339418698566,0.0937773990236102,0.04877624803741511
AdExp,-0.040373391672321735,0.1197504460879923,-0.0683220620257747,0.02165951702273502,-0.0759321417203237
AssetGrowth,-0.03407904762547763,0.17608620914665474,0.11657089349504918,-0.02771671703275621,0.018588322256902816
BM,-0.035575003334129135,0.17197845176246718,-0.0068506433866884105,0.028935041123209448,-0.11419670338472827
BMdec,0.03428066383820522,0.1511713090649806,-0.0397540113632025,0.04839093166290037,-0.09226104411112503
BPEBM,-0.031254353190991645,-0.040032407227193784,0.023766621105230184,-0.06795040321120525,-0.024571537630194037
Beta,-0.23778810693003385,-0.03340744206000666,0.08175072292530285,0.12919790408994383,-0.0696194167685981
BetaFP,-0.26911834569101056,-0.11681373121612815,0.001172710514751085,0.16248792570486828,-0.12698054601900002
BetaLiquidityPS,-0.01418992367185599,-0.0007810425858502554,-0.007564858105204836,-0.06494705370110655,0.008729625726393951
BetaTailRisk,-0.07453422233304309,-0.028844026969203313,0.020308029946716367,0.11352725061324431,-0.04082489974263875
BidAskSpread,-0.25431306462639414,0.11745567888552878,0.020177846595225164,-0.07279559373433872,-0.022205516047209446
BookLeverage,-0.07491062626432844,-0.06704500727847185,0.06982530857090151,-0.11887216933754349,0.07741208147848612
BrandInvest,-0.1181369189490339,0.06506832417721661,0.11123305262012662,-0.170449448718667,0.012940269032782668
CBOperProf,0.08051914662325237,0.00232819037660954,0.005905514344794522,-0.07619099161685133,0.0998216507131169
CF,0.07363886419100937,0.002008132690300441,-0.10820078352567411,0.11310507206397848,-0.04921989769488564
CashProd,0.005709980490056854,0.11823348385731686,-0.1458353501413456,0.03126892965256483,-0.03334823524511229
ChAssetTurnover,0.0007542425246571035,-0.021014753514645754,-0.01246172739532286,-0.02652200726153091,-0.030492270582963974
ChEQ,-0.03470943307895557,0.11816128558757033,0.03520756652561027,-0.06140098547104471,-0.046917753630665644
ChInv,-0.0074661597179032715,0.0786175166358695,0.038535139686401265,-0.014063977605088823,-0.00785181594791694
ChInvIA,-0.02695525170034046,0.024621947956148135,0.008163801064410118,-0.033027554361544795,-0.013974241296835927
ChNNCOA,0.0001250959388972172,-0.01550339524287024,0.0003724567671344825,-0.03438630884194252,-0.04286940639682718
ChNWC,-0.007062257678538472,-0.024506757207533796,-0.014778662837155806,-0.027379205196932502,-0.02540208064514718
ChTax,0.03259957339588037,0.00608519923150063,0.10296090643621666,0.07079995774490276,0.0647119489741502
CompEquIss,0.016501961229169245,-0.03303724803627685,0.02407928572364771,-0.009443269474044612,-0.027131460883797087
CompositeDebtIssuance,0.009160652404180493,0.0017469592596094017,-0.0036681632955694954,-0.03277601646941784,-0.021958160328634225
