ticker,comnam,siccd,gics_l2,r2,similarity,rank,weight_eq,weight_sim,weight_nnls,theme,etf
APH,AMPHENOL CORP NEW,3678,4530.0,0.496180613179947,0.9890270487335866,1,0.04,0.04096118030396779,0.0,AI Infrastructure,DTCR
SLH,SOLERA HOLDINGS INC,7371,4510.0,0.16310685583059636,0.988909147061146,2,0.04,0.04095629733168795,0.0,AI Infrastructure,DTCR
JBL,JABIL INC,3672,4530.0,0.3875394620098458,0.9849293171595652,3,0.04,0.04079147016099883,0.0,AI Infrastructure,DTCR
MFE,MCAFEE INC,7372,4510.0,0.3754825294433156,0.9846216723287136,4,0.04,0.040778728855892725,0.0,AI Infrastructure,DTCR
ICST,INTEGRATED CIRCUIT SYSTEMS INC,3625,4520.0,0.5335191042031564,0.9805655325959272,5,0.04,0.040610741265315206,0.0,AI Infrastructure,DTCR
PLAN,ANAPLAN INC,7379,4510.0,0.35669358340514734,0.9790632771117437,6,0.04,0.04054852440498863,0.0,AI Infrastructure,DTCR
EXEL,EXELIXIS INC,8731,4510.0,0.1018356520879925,0.9770593028172285,7,0.04,0.040465528543037976,0.0,AI Infrastructure,DTCR
SYNA,SYNAPTICS INC,3679,4530.0,0.3383192165419239,0.9745604904309693,8,0.04,0.04036203864877228,0.11595414524154375,AI Infrastructure,DTCR
EPAM,EPAM SYSTEMS INC,7371,4510.0,0.37185960759435865,0.9740517739418129,9,0.04,0.040340969833857036,0.0,AI Infrastructure,DTCR
BKI,BLACK KNIGHT INC,7372,4510.0,0.14832162650041636,0.9738271326364877,10,0.04,0.04033166617222016,0.0,AI Infrastructure,DTCR
LNKD,LINKEDIN CORP,7375,4510.0,0.11568411145752378,0.970293989300733,11,0.04,0.04018533880796766,0.0,AI Infrastructure,DTCR
IPGP,I P G PHOTONICS CORP,3674,4530.0,0.2835412245963549,0.9682877283500017,12,0.04,0.04010224824270461,0.0,AI Infrastructure,DTCR
AME,AMETEK INC NEW,3621,4520.0,0.3310156717014632,0.9632184509552998,13,0.04,0.03989230091553991,0.0,AI Infrastructure,DTCR
CRUS,CIRRUS LOGIC INC,3670,4530.0,0.28543909936350886,0.9613739309062913,14,0.04,0.03981590895194451,0.0,AI Infrastructure,DTCR
GMST,GEMSTAR TV GUIDE INTL INC,3651,4520.0,0.5759510862065729,0.9596754589038377,15,0.04,0.039745565660501844,0.0,AI Infrastructure,DTCR
NATI,NATIONAL INSTRUMENTS CORP,7373,4510.0,0.3718218270304203,0.9594019555714799,16,0.04,0.03973423834713384,0.0,AI Infrastructure,DTCR
MPWR,MONOLITHIC PWR SYS INC,3674,4530.0,0.293491118754152,0.9568910618487126,17,0.04,0.039630248096681066,0.0,AI Infrastructure,DTCR
IRF,INTERNATIONAL RECTIFIER CORP,3674,4530.0,0.46210910944323913,0.9546491934556907,18,0.04,0.03953739970028794,0.0,AI Infrastructure,DTCR
MOLXA,MOLEX INC,3670,4530.0,0.3812589070424782,0.9541440005934222,19,0.04,0.03951647681860725,0.0,AI Infrastructure,DTCR
PPDI,PHARMACEUTICAL PRODUCT DEV INC,8730,4510.0,0.13618877893943482,0.9531688458966907,20,0.04,0.03947609017052899,0.40488601360601195,AI Infrastructure,DTCR
SPB,SPECTRUM BRANDS HOLDINGS INC NEW,3634,4520.0,0.4297286546260388,0.9528250478299645,21,0.04,0.039461851556309734,0.2554945821696094,AI Infrastructure,DTCR
HYSL,HYPERION SOLUTIONS CORP,7370,4510.0,0.40692754452480706,0.9476658671475118,22,0.04,0.039248180827662536,0.12514819328230598,AI Infrastructure,DTCR
HLTH,H L T H CORP,7374,4510.0,0.31899333906829563,0.9472362421115881,23,0.04,0.039230387635269974,0.0,AI Infrastructure,DTCR
SUNE,SUNEDISON INC,3674,4530.0,0.4579338395586997,0.9457306285605402,24,0.04,0.039168031698481855,0.09851706570052904,AI Infrastructure,DTCR
SNPS,SYNOPSYS INC,7370,4510.0,0.2518132746891999,0.9442953094322545,25,0.04,0.03910858704963961,0.0,AI Infrastructure,DTCR
PCO,PREMCOR INC,2911,1010.0,0.15830568478809925,0.9809199334970603,1,0.04,0.04255906512048938,0.09988285248588957,Energy Independence,NLR
VST,VISTRA CORP,4911,5510.0,0.3426156720717991,0.968360965651502,2,0.04,0.042014170565762864,0.0,Energy Independence,NLR
VLO,VALERO ENERGY CORP NEW,2911,1010.0,0.2876582943324215,0.9612339351644537,3,0.04,0.04170495087896065,0.0,Energy Independence,NLR
ITC,I T C HOLDINGS CORP,4911,5510.0,0.07342386503624831,0.9521189636614726,4,0.04,0.04130948061424313,0.0,Energy Independence,NLR
NBL,NOBLE ENERGY INC,4931,5510.0,0.3295346892790455,0.9518623379418827,5,0.04,0.0412983464224109,0.0,Energy Independence,NLR
CNL,CLECO CORP NEW,4911,5510.0,0.0843790461198024,0.949920576185226,6,0.04,0.04121409941893182,0.0,Energy Independence,NLR
LYO,LYONDELL CHEMICAL CO,2911,1010.0,0.29005672140413064,0.9499023307812972,7,0.04,0.04121330780760102,0.0,Energy Independence,NLR
CVI,C V R ENERGY,2911,1010.0,0.36193936847034025,0.9436239309824784,8,0.04,0.04094090756700463,0.15099535986731816,Energy Independence,NLR
ATO,ATMOS ENERGY CORP,4924,5510.0,0.08976968823423881,0.9419097579105078,9,0.04,0.04086653492872242,0.0,Energy Independence,NLR
GXP,GREAT PLAINS ENERGY INC,4911,5510.0,0.11827497665639353,0.9303966062285981,10,0.04,0.040367015084706595,0.0,Energy Independence,NLR
NJR,NEW JERSEY RES,4924,5510.0,0.08437896183982296,0.9269841959433016,11,0.04,0.04021896121548609,0.0,Energy Independence,NLR
KMR,KINDER MORGAN MANAGEMENT LLC,4612,1010.0,0.09276288913355157,0.9255176138647028,12,0.04,0.040155330780364734,0.0,Energy Independence,NLR
VVC,VECTREN CORP,4932,5510.0,0.058075063537870286,0.9196337983562226,13,0.04,0.039900050324915504,0.0,Energy Independence,NLR
TXNM,T X N M ENERGY INC,4922,5510.0,0.09163654518029773,0.9194862360538327,14,0.04,0.03989364805555357,0.36669201183310873,Energy Independence,NLR
UGI,U G I CORP NEW,4932,5510.0,0.13539811509693322,0.9161400624640185,15,0.04,0.03974846799054494,0.0,Energy Independence,NLR
WNR,WESTERN REFINING INC,2911,1010.0,0.13931039238363174,0.9153157099750387,16,0.04,0.039712701899896084,0.0,Energy Independence,NLR
NST,NSTAR,4911,5510.0,0.11986368675057713,0.9012285181506634,17,0.04,0.0391015024597124,0.0,Energy Independence,NLR
AVA,AVISTA CORP,4911,5510.0,0.343628191186365,0.8995107860606482,18,0.04,0.039026975406706264,0.0,Energy Independence,NLR
WGL,W G L HOLDINGS INC,4924,5510.0,0.09567843518285168,0.8973108652820201,19,0.04,0.038931527686173396,0.0,Energy Independence,NLR
AGL,A G L RESOURCES INC,4924,5510.0,0.2418035969265362,0.8919672658616922,20,0.04,0.03869968552664384,0.0,Energy Independence,NLR
NWE,NORTHWESTERN CORP,4931,5510.0,0.05079980196304812,0.8900004595707335,21,0.04,0.03861435191871329,0.0,Energy Independence,NLR
ORA,ORMAT TECHNOLOGIES INC,4911,5510.0,0.27679763677228886,0.8887870372329706,22,0.04,0.038561705297385694,0.38242977581368337,Energy Independence,NLR
NVE,NV ENERGY INC,4931,5510.0,0.13040557129022656,0.8828395628079756,23,0.04,0.03830366287953675,0.0,Energy Independence,NLR
NFG,NATIONAL FUEL GAS CO N J,4924,5510.0,0.23301078147849774,0.8806623661998086,24,0.04,0.03820920109008494,0.0,Energy Independence,NLR
WPS,W P S RESOURCES CORP,4931,5510.0,0.075696625326936,0.8628032379457069,25,0.04,0.03743434905944898,0.0,Energy Independence,NLR
TEX,TEREX CORP NEW,3537,2010.0,0.4837201314398001,0.9956170899838008,1,0.04,0.04074572114220816,0.0,US Housing & Consumer,HOMZ
BC,BRUNSWICK CORP,3519,2010.0,0.4488509364999208,0.9937366794001492,2,0.04,0.040668765165814094,0.0,US Housing & Consumer,HOMZ
NDSN,NORDSON CORP,3560,2010.0,0.45879519064194185,0.9914141933629188,3,0.04,0.04057371721075016,0.0,US Housing & Consumer,HOMZ
CAM,CAMERON INTERNATIONAL CORP,3492,2010.0,0.26346785054136557,0.9908307109864808,4,0.04,0.04054983814073327,0.0,US Housing & Consumer,HOMZ
B,BARNES GROUP INC,3495,2010.0,0.4790802233009912,0.9901536758226823,5,0.04,0.04052213041427384,0.0,US Housing & Consumer,HOMZ
LPX,LOUISIANA PACIFIC CORP,2421,2010.0,0.29501238777811023,0.9894202599193527,6,0.04,0.04049211530085427,0.0,US Housing & Consumer,HOMZ
LECO,LINCOLN ELECTRIC HOLDINGS INC,3540,2010.0,0.6115254715973097,0.9882836550958779,7,0.04,0.04044559964372855,0.0,US Housing & Consumer,HOMZ
SKX,SKECHERS U S A INC,3149,2520.0,0.1624013762050176,0.985223559682885,8,0.04,0.04032036495699935,0.0,US Housing & Consumer,HOMZ
FLS,FLOWSERVE CORP,3594,2010.0,0.30682129027573657,0.9837130585574612,9,0.04,0.04025854755926614,0.0,US Housing & Consumer,HOMZ
TER,TERADYNE INC,3825,2010.0,0.23521794176579847,0.9794240560159437,10,0.04,0.040083019735072466,0.0,US Housing & Consumer,HOMZ
HOG,HARLEY DAVIDSON INC,3751,2010.0,0.4423642550611958,0.9773237768796896,11,0.04,0.039997065617904795,0.0,US Housing & Consumer,HOMZ
SPXC,S P X TECHNOLOGIES INC,3443,2010.0,0.3504872386325215,0.9769740617136959,12,0.04,0.03998275349251429,0.0,US Housing & Consumer,HOMZ
SHOO,MADDEN STEVEN LTD,3144,2520.0,0.31480924633742147,0.9748798149733421,13,0.04,0.03989704625170464,0.19803416394915804,US Housing & Consumer,HOMZ
UFPI,U F P INDUSTRIES INC,2421,2010.0,0.3439469019013496,0.9706282925991766,14,0.04,0.039723052306813215,0.0,US Housing & Consumer,HOMZ
CAR,AVIS BUDGET GROUP INC,6531,6010.0,0.2299395334457397,0.9701353645734309,15,0.04,0.039702879181941944,0.13740490473338637,US Housing & Consumer,HOMZ
AVTR,AVANTOR INC,3826,2010.0,0.36462032954072,0.9700135192883262,16,0.04,0.0396978926524224,0.0,US Housing & Consumer,HOMZ
CYMI,CYMER INC,3550,2010.0,0.431082775054222,0.9693903201991176,17,0.04,0.03967238817227594,0.14965254395498995,US Housing & Consumer,HOMZ
SII,SMITH INTERNATIONAL INC,3533,2010.0,0.2605861450298912,0.9690220117881143,18,0.04,0.03965731511662026,0.0,US Housing & Consumer,HOMZ
CW,CURTISS WRIGHT CORP,3491,2010.0,0.4411225032911358,0.9685012967239285,19,0.04,0.03963600480464057,0.0,US Housing & Consumer,HOMZ
NOV,N O V INC,3594,2010.0,0.28074464406033595,0.968291317525055,20,0.04,0.03962741138657952,0.09023627953543316,US Housing & Consumer,HOMZ
TREX,TREX COMPANY INC,2421,2010.0,0.35866158475204113,0.9677694375064302,21,0.04,0.03960605339873208,0.0,US Housing & Consumer,HOMZ
GTLS,CHART INDUSTRIES INC,3443,2010.0,0.33501075845823625,0.9677452957130213,22,0.04,0.03960506539361243,0.4246721078270325,US Housing & Consumer,HOMZ
CXT,CRANE N X T CO,3492,2010.0,0.5131708305173758,0.966422455883551,23,0.04,0.039550928051706936,0.0,US Housing & Consumer,HOMZ
HNI,H N I CORP,2522,2520.0,0.16639949069054816,0.9651146587386733,24,0.04,0.03949740633305441,0.0,US Housing & Consumer,HOMZ
GGG,GRACO INC,3561,2010.0,0.39367344448598507,0.9648583914285709,25,0.04,0.039486918569776396,0.0,US Housing & Consumer,HOMZ
CTLT,CATALENT INC,2834,3520.0,0.3472858548692389,0.9762374824065442,1,0.04,0.043089784090383,0.37803439327389343,Bio-Economy & Longevity,AGNG
THC,TENET HEALTHCARE CORP,8062,3510.0,0.20587299687146932,0.9691879866344876,2,0.04,0.04277862901158478,0.0,Bio-Economy & Longevity,AGNG
HOLX,HOLOGIC INC,3844,3510.0,0.2772776092856378,0.9575202894536725,3,0.04,0.04226363285397574,0.0,Bio-Economy & Longevity,AGNG
EHC,ENCOMPASS HEALTH CORP,8069,3510.0,0.24855173084294013,0.9547916466172728,4,0.04,0.04214319430003864,0.0,Bio-Economy & Longevity,AGNG
WST,WEST PHARMACEUTICAL SERVICES INC,2834,3520.0,0.28048553913968366,0.9525696813159491,5,0.04,0.04204511979786491,0.0,Bio-Economy & Longevity,AGNG
SIRO,SIRONA DENTAL SYSTEMS INC,3844,3510.0,0.3584324498083704,0.9511376950768163,6,0.04,0.041981913888466185,0.19672834823598442,Bio-Economy & Longevity,AGNG
MSA,M S A SAFETY INC,3842,3510.0,0.3142462788038545,0.9461933898903713,7,0.04,0.041763679035983686,0.0,Bio-Economy & Longevity,AGNG
PODD,INSULET CORP,3841,3510.0,0.18193530990484075,0.9330223489661371,8,0.04,0.04118232734656504,0.0,Bio-Economy & Longevity,AGNG
THOR,THORATEC CORP,3845,3510.0,0.15360525934260771,0.9251409905496164,9,0.04,0.040834454991091014,0.0,Bio-Economy & Longevity,AGNG
ICOS,I C O S CORP,2830,3520.0,0.3933614512510042,0.9228884379477968,10,0.04,0.04073503040740737,0.0,Bio-Economy & Longevity,AGNG
MASI,MASIMO CORP,3845,3510.0,0.2522389806699924,0.9148505082764393,11,0.04,0.04038024721139785,0.0,Bio-Economy & Longevity,AGNG
HALO,HALOZYME THERAPEUTICS INC,2836,3520.0,0.3209832007077118,0.9090324381020631,12,0.04,0.04012344557024537,0.21886647009102067,Bio-Economy & Longevity,AGNG
UTHR,UNITED THERAPEUTICS CORP,2830,3520.0,0.11679512198121766,0.9085036227612976,13,0.04,0.040100104386088936,0.0,Bio-Economy & Longevity,AGNG
OPK,OPKO HEALTH INC,2834,3520.0,0.21352462432037034,0.8988170554518301,14,0.04,0.03967255258495035,0.06842468231095696,Bio-Economy & Longevity,AGNG
ENSG,ENSIGN GROUP INC,8051,3510.0,0.40915233402427587,0.8983293205359767,15,0.04,0.03965102463442989,0.0,Bio-Economy & Longevity,AGNG
SGEN,SEAGEN INC,2836,3520.0,0.1977489980256638,0.8935643560446707,16,0.04,0.03944070563436182,0.0,Bio-Economy & Longevity,AGNG
NUVA,NUVASIVE INC,3841,3510.0,0.23488634955003107,0.8797527016567616,17,0.04,0.03883107814491232,0.1379461060881445,Bio-Economy & Longevity,AGNG
DXCM,DEXCOM INC,3841,3510.0,0.27303920331771114,0.8761860063106733,18,0.04,0.03867364910213448,0.0,Bio-Economy & Longevity,AGNG
IDXX,I D E X X LABORATORIES INC,2830,3520.0,0.16355964936521317,0.8757654566949661,19,0.04,0.03865508661865408,0.0,Bio-Economy & Longevity,AGNG
ONXX,ONYX PHARMACEUTICALS INC,2830,3520.0,0.22640404643926815,0.8650874834668749,20,0.04,0.038183775519445816,0.0,Bio-Economy & Longevity,AGNG
MRX,MEDICIS PHARMACEUTICAL CORP,2834,3520.0,0.23802286366370295,0.8544343069079153,21,0.04,0.03771355891121776,0.0,Bio-Economy & Longevity,AGNG
IONS,IONIS PHARMACEUTICALS INC,2834,3520.0,0.17658259172569613,0.8523535074267485,22,0.04,0.037621715274812985,0.0,Bio-Economy & Longevity,AGNG
MD,MEDNAX INC,8011,3510.0,0.19631334824194902,0.8496616732063331,23,0.04,0.037502901402722284,0.0,Bio-Economy & Longevity,AGNG
RGEN,REPLIGEN CORP,2830,3520.0,0.3978640479318366,0.8456745826142763,24,0.04,0.03732691669013267,0.0,Bio-Economy & Longevity,AGNG
BMRN,BIOMARIN PHARMACEUTICAL INC,2830,3520.0,0.16055470259033233,0.8451887474293964,25,0.04,0.03730547259113292,0.0,Bio-Economy & Longevity,AGNG
IEX,IDEX CORP,3561,2010.0,0.5492724789825201,0.9978950701756669,1,0.04,0.0412766044052781,0.0,Defence & Security,FITE
GTLS,CHART INDUSTRIES INC,3443,2010.0,0.33501075845823625,0.9913343641344826,2,0.04,0.04100522951229099,0.0,Defence & Security,FITE
XLS,EXELIS INC,3812,2010.0,0.29635601911033704,0.98146294879753,3,0.04,0.04059691152579983,0.24254425059628268,Defence & Security,FITE
HEI,HEICO CORP NEW,3724,2010.0,0.40958608708399746,0.9807179689193795,4,0.04,0.04056609642244943,0.0,Defence & Security,FITE
BRKR,BRUKER CORP,3826,2010.0,0.23213929780422016,0.97905672619815,5,0.04,0.04049738132336264,0.0,Defence & Security,FITE
COHR,COHERENT CORP,3827,2010.0,0.46527324739744536,0.9780281174023133,6,0.04,0.040454834286482236,0.29835169649362375,Defence & Security,FITE
HEI,HEICO CORP NEW,3724,2010.0,0.40025112302418653,0.9760981345198763,7,0.04,0.040375003107505386,0.0,Defence & Security,FITE
MKSI,M K S INSTRUMENTS INC,3820,2010.0,0.36057849082240534,0.9760162067335545,8,0.04,0.04037161427342165,0.0,Defence & Security,FITE
SPXC,S P X TECHNOLOGIES INC,3443,2010.0,0.3504872386325215,0.9749615398621596,9,0.04,0.040327989378850064,0.0,Defence & Security,FITE
GGG,GRACO INC,3561,2010.0,0.39367344448598507,0.9720646091182723,10,0.04,0.04020816168565996,0.0,Defence & Security,FITE
KBR,K B R INC,1629,2010.0,0.2920310825117167,0.9709455762811041,11,0.04,0.04016187437839009,0.0,Defence & Security,FITE
KEYS,KEYSIGHT TECHNOLOGIES INC,3825,2010.0,0.3737883260463437,0.9704788700879451,12,0.04,0.040142569696480876,0.17090020728967023,Defence & Security,FITE
DCI,DONALDSON INC,3564,2010.0,0.4203873581449967,0.9675320698949134,13,0.04,0.040020679219751935,0.0,Defence & Security,FITE
EME,EMCOR GROUP INC,1731,2010.0,0.45928131860037513,0.966436927118601,14,0.04,0.03997538009312414,0.0,Defence & Security,FITE
TRMB,TRIMBLE INC,3810,2010.0,0.4313811972214835,0.9659358774352755,15,0.04,0.039954654838351235,0.0,Defence & Security,FITE
TKR,TIMKEN CO,3562,2010.0,0.5325936785962323,0.9600695980623193,16,0.04,0.03971200398231912,0.0,Defence & Security,FITE
LECO,LINCOLN ELECTRIC HOLDINGS INC,3540,2010.0,0.6115254715973097,0.9577525251128014,17,0.04,0.039616161336760616,0.0,Defence & Security,FITE
TTC,TORO CO,3524,2010.0,0.3300337744399675,0.9565865694872443,18,0.04,0.039567933130660995,0.0,Defence & Security,FITE
MOG,MOOG INC,3812,2010.0,0.4858385536290598,0.9563587079445879,19,0.04,0.039558507940541804,0.0,Defence & Security,FITE
CW,CURTISS WRIGHT CORP,3491,2010.0,0.4411225032911358,0.9549715501025781,20,0.04,0.03950112999850804,0.0,Defence & Security,FITE
LII,LENNOX INTERNATIONAL INC,3585,2010.0,0.3377426442566228,0.953107792794924,21,0.04,0.03942403815248666,0.1469984109587096,Defence & Security,FITE
GDI,GARDNER DENVER INC,3533,2010.0,0.5334801890153973,0.952228665456089,22,0.04,0.03938767421756856,0.0,Defence & Security,FITE
BWXT,B W X TECHNOLOGIES INC,3511,2010.0,0.1666439191540081,0.9514706490043081,23,0.04,0.039356319873662095,0.0,Defence & Security,FITE
MIDD,MIDDLEBY CORP,3550,2010.0,0.3155763040635601,0.9424807230751714,24,0.04,0.038984463525935674,0.1412054346617138,Defence & Security,FITE
FLS,FLOWSERVE CORP,3594,2010.0,0.30682129027573657,0.9418115409107759,25,0.04,0.03895678369435783,0.0,Defence & Security,FITE
