ticker,comnam,siccd,gics_l2,r2,similarity,rank,weight_eq,weight_sim,weight_nnls,theme,etf
NEOG,NEOGEN CORP,2830,3520.0,0.19809256957927757,0.9966156062438013,1,0.04,0.04033219976317802,0.0,AI Infrastructure,DTCR
AGP,AMERIGROUP CORP,6324,4030.0,0.30133494737057565,0.9955302265099317,2,0.04,0.040288275353434606,0.0,AI Infrastructure,DTCR
W,WAYFAIR INC,5961,2550.0,0.5926066014814473,0.9939473289796514,3,0.04,0.04022421681472024,0.0,AI Infrastructure,DTCR
KNX,KNIGHT SWIFT TRANSPORT HDLGS INC,4213,2030.0,0.36214151648791737,0.9931739605851652,4,0.04,0.040192919242836425,0.0,AI Infrastructure,DTCR
KKR,K K R & CO INC,5611,2550.0,0.3916924149072126,0.9930451626131802,5,0.04,0.040187706896669416,0.0,AI Infrastructure,DTCR
ROSE,ROSETTA RESOURCES INC,1311,1510.0,0.3750380711462431,0.9919000867373273,6,0.04,0.040141366634004895,0.0,AI Infrastructure,DTCR
FOX,FOX ENTERTAINMENT GROUP INC,4833,5010.0,0.4681475170455044,0.991702456843812,7,0.04,0.04013336871756199,0.0,AI Infrastructure,DTCR
BLDR,BUILDERS FIRSTSOURCE INC,2421,2010.0,0.393234409901256,0.9907310813334653,8,0.04,0.040094057963362566,0.4193738188284986,AI Infrastructure,DTCR
CDW,C D W CORP NEW,9999,2020.0,0.33859271147795844,0.9906060426202663,9,0.04,0.04008899775125342,0.0,AI Infrastructure,DTCR
RMD,RESMED INC,3841,3510.0,0.11745247603834685,0.9902835728664285,10,0.04,0.04007594767011092,0.0,AI Infrastructure,DTCR
APH,AMPHENOL CORP NEW,3678,4530.0,0.496180613179947,0.9890270487335866,11,0.04,0.04002509718972958,0.0,AI Infrastructure,DTCR
SLH,SOLERA HOLDINGS INC,7371,4510.0,0.16310685583059636,0.988909147061146,12,0.04,0.0400203258076887,0.0,AI Infrastructure,DTCR
FOXF,FOX FACTORY HOLDING CORP,9999,2020.0,0.3659185567709742,0.988228091603967,13,0.04,0.03999276406314381,0.0,AI Infrastructure,DTCR
INT,WORLD FUEL SERVICES CORP,5172,2020.0,0.15220764622601723,0.987779955210281,14,0.04,0.03997462835822603,0.0,AI Infrastructure,DTCR
BLD,TOPBUILD CORP,1742,2010.0,0.4098748320518655,0.9871029962803493,15,0.04,0.03994723239671146,0.0,AI Infrastructure,DTCR
DNB,DUN & BRADSTREET HOLDINGS INC,7323,2020.0,0.4525347748535292,0.9861094250094604,16,0.04,0.03990702339865305,0.0,AI Infrastructure,DTCR
LBRDK,LIBERTY BROADBAND CORP,9999,2020.0,0.2859883434227807,0.9851953970674093,17,0.04,0.03987003345256253,0.20475537843740696,AI Infrastructure,DTCR
JBL,JABIL INC,3672,4530.0,0.3875394620098458,0.9849293171595652,18,0.04,0.039859265421308646,0.0,AI Infrastructure,DTCR
LKQ,L K Q CORP,5015,2020.0,0.2699705509110272,0.9848174872186855,19,0.04,0.03985473975716411,0.0,AI Infrastructure,DTCR
MFE,MCAFEE INC,7372,4510.0,0.3754825294433156,0.9846216723287136,20,0.04,0.03984681529239607,0.0,AI Infrastructure,DTCR
HCSG,HEALTHCARE SERVICES GROUP INC,7340,2020.0,0.07691794793304507,0.9839669806387775,21,0.04,0.03982032046745417,0.0,AI Infrastructure,DTCR
BX,BLACKSTONE INC,6282,4020.0,0.40770332783685104,0.9836309062397035,22,0.04,0.03980671981770133,0.0062225697468804375,AI Infrastructure,DTCR
BR,BROADRIDGE FINANCIAL SOLUTNS INC,7389,2020.0,0.1742306776182556,0.982964445584734,23,0.04,0.039779748712591066,0.0,AI Infrastructure,DTCR
HLI,HOULIHAN LOKEY INC,6282,4020.0,0.4903629857295001,0.9829536895416502,24,0.04,0.03977931342452654,0.043109654886624584,AI Infrastructure,DTCR
PCLN,PRICELINE COM INC,7389,2020.0,0.2102824032170798,0.9824002362536707,25,0.04,0.039756915633010405,0.32653857810058934,AI Infrastructure,DTCR
KKR,K K R & CO INC,5611,2550.0,0.3916924149072126,0.9985404527676262,1,0.04,0.040336274926995,0.0,Energy Independence,NLR
FOX,FOX ENTERTAINMENT GROUP INC,4833,5010.0,0.4681475170455044,0.9977874016592927,2,0.04,0.04030585525150201,0.0,Energy Independence,NLR
RMD,RESMED INC,3841,3510.0,0.11745247603834685,0.9948003519993384,3,0.04,0.04018519268247883,0.0,Energy Independence,NLR
BLDR,BUILDERS FIRSTSOURCE INC,2421,2010.0,0.393234409901256,0.9937829538178189,4,0.04,0.04014409464519226,0.0,Energy Independence,NLR
FOXF,FOX FACTORY HOLDING CORP,9999,2020.0,0.3659185567709742,0.9931720453404023,5,0.04,0.04011941685449083,0.0,Energy Independence,NLR
JBL,JABIL INC,3672,4530.0,0.3875394620098458,0.9931553795784496,6,0.04,0.04011874363714232,0.0,Energy Independence,NLR
CDW,C D W CORP NEW,9999,2020.0,0.33859271147795844,0.9920944341314958,7,0.04,0.04007588649789247,0.0,Energy Independence,NLR
CLF,CLEVELAND CLIFFS INC NEW,1081,1510.0,0.34255682565869683,0.9915893506014744,8,0.04,0.04005548353067009,0.0,Energy Independence,NLR
NEOG,NEOGEN CORP,2830,3520.0,0.19809256957927757,0.9913239592616652,9,0.04,0.04004476298548224,0.0,Energy Independence,NLR
ROSE,ROSETTA RESOURCES INC,1311,1510.0,0.3750380711462431,0.9913146008424636,10,0.04,0.04004438494995173,0.20197620567683178,Energy Independence,NLR
HII,HUNTINGTON INGALLS INDS INC,5088,2020.0,0.2109716145974917,0.9905942235078449,11,0.04,0.04001528513918311,0.0,Energy Independence,NLR
HGV,HILTON GRAND VACATIONS INC,7011,2550.0,0.4367252593317529,0.9900250080081773,12,0.04,0.039992291546060606,0.5328061718676511,Energy Independence,NLR
UFPI,U F P INDUSTRIES INC,2421,2010.0,0.3439469019013496,0.9896574205707844,13,0.04,0.03997744276562983,0.0,Energy Independence,NLR
NDSN,NORDSON CORP,3560,2010.0,0.45879519064194185,0.9895476603563399,14,0.04,0.039973008976118746,0.0,Energy Independence,NLR
MFE,MCAFEE INC,7372,4510.0,0.3754825294433156,0.9888281586548977,15,0.04,0.0399439445367569,0.0,Energy Independence,NLR
FAF,FIRST AMERICAN FINL CORP NEW,6361,4030.0,0.25325571376763467,0.9885933002465693,16,0.04,0.03993445737647111,0.0,Energy Independence,NLR
W,WAYFAIR INC,5961,2550.0,0.5926066014814473,0.9883078258021857,17,0.04,0.03992292556958099,0.14083832733945395,Energy Independence,NLR
BLD,TOPBUILD CORP,1742,2010.0,0.4098748320518655,0.9877773802493154,18,0.04,0.03990149809751907,0.0,Energy Independence,NLR
LBRDK,LIBERTY BROADBAND CORP,9999,2020.0,0.2859883434227807,0.9876444945831431,19,0.04,0.039896130149981515,0.0,Energy Independence,NLR
PLAN,ANAPLAN INC,7379,4510.0,0.35669358340514734,0.986692480328254,20,0.04,0.039857673311689996,0.027471790875145254,Energy Independence,NLR
AGP,AMERIGROUP CORP,6324,4030.0,0.30133494737057565,0.9866679511330129,21,0.04,0.03985668244911628,0.0,Energy Independence,NLR
SCCO,SOUTHERN COPPER CORP,1021,1510.0,0.3641262083750806,0.9863697527750535,22,0.04,0.039844636656763965,0.0,Energy Independence,NLR
FICO,FAIR ISAAC CORP,7389,2020.0,0.24851286036653308,0.9862255089657825,23,0.04,0.03983880989438179,0.0,Energy Independence,NLR
CE,CELANESE CORP DEL,2819,1510.0,0.6234298953253667,0.9854832257898523,24,0.04,0.03980882519203446,0.09690750424091786,Energy Independence,NLR
RS,RELIANCE INC,5051,2020.0,0.4063064510068124,0.9854205249489364,25,0.04,0.03980629237691382,0.0,Energy Independence,NLR
VVV,VALVOLINE INC,7538,2550.0,0.4318215203925947,0.9989078411993911,1,0.04,0.04027447355062043,0.0,US Housing & Consumer,HOMZ
TDS,TELEPHONE & DATA SYSTEMS INC,4813,5010.0,0.20027922320014535,0.9980687452024115,2,0.04,0.04024064245215171,0.0,US Housing & Consumer,HOMZ
DAN,DANA INC,3714,2510.0,0.5186024312797439,0.9971137943457703,3,0.04,0.04020214025862427,0.18313683272987857,US Housing & Consumer,HOMZ
TEX,TEREX CORP NEW,3537,2010.0,0.4837201314398001,0.9956170899838008,4,0.04,0.04014179537218624,0.20539265797925754,US Housing & Consumer,HOMZ
STLD,STEEL DYNAMICS INC,3310,1510.0,0.44349020201493505,0.9952947854123778,5,0.04,0.04012880053282104,0.0,US Housing & Consumer,HOMZ
VC,VISTEON CORP,3714,2510.0,0.4478091005031898,0.9943307733511474,6,0.04,0.04008993300504602,0.0,US Housing & Consumer,HOMZ
BC,BRUNSWICK CORP,3519,2010.0,0.4488509364999208,0.9937366794001492,7,0.04,0.04006598002347033,0.28885063894508595,US Housing & Consumer,HOMZ
ALB,ALBEMARLE CORP,2821,1510.0,0.4971846349963658,0.9935491701488435,8,0.04,0.0400584199302658,0.0,US Housing & Consumer,HOMZ
SCCO,SOUTHERN COPPER CORP,1021,1510.0,0.3641262083750806,0.9929293678855994,9,0.04,0.04003343042790323,0.0,US Housing & Consumer,HOMZ
ELAN,ELANCO ANIMAL HEALTH INC,2834,3520.0,0.31722252941013507,0.9927873123413794,10,0.04,0.04002770296034072,0.0,US Housing & Consumer,HOMZ
HGV,HILTON GRAND VACATIONS INC,7011,2550.0,0.4367252593317529,0.9923746244669651,11,0.04,0.04001106400107216,0.0,US Housing & Consumer,HOMZ
VSAT,VIASAT INC,3660,4520.0,0.15307673602121252,0.9923083217346299,12,0.04,0.04000839077384375,0.0,US Housing & Consumer,HOMZ
NATI,NATIONAL INSTRUMENTS CORP,7373,4510.0,0.3718218270304203,0.9920535186430478,13,0.04,0.039998117493417584,0.0,US Housing & Consumer,HOMZ
EVR,EVERCORE INC,6211,4020.0,0.5413320714511072,0.9916012281735729,14,0.04,0.039979881816612606,0.0,US Housing & Consumer,HOMZ
NDSN,NORDSON CORP,3560,2010.0,0.45879519064194185,0.9914141933629188,15,0.04,0.03997234085214717,0.0,US Housing & Consumer,HOMZ
CAM,CAMERON INTERNATIONAL CORP,3492,2010.0,0.26346785054136557,0.9908307109864808,16,0.04,0.03994881571342277,0.0,US Housing & Consumer,HOMZ
B,BARNES GROUP INC,3495,2010.0,0.4790802233009912,0.9901536758226823,17,0.04,0.03992151866591486,0.2347726082393662,US Housing & Consumer,HOMZ
TXRH,TEXAS ROADHOUSE INC,5812,2550.0,0.23597615090766555,0.9898675233459872,18,0.04,0.03990998142506163,0.0,US Housing & Consumer,HOMZ
LPX,LOUISIANA PACIFIC CORP,2421,2010.0,0.29501238777811023,0.9894202599193527,19,0.04,0.03989194843112245,0.08784726210641162,US Housing & Consumer,HOMZ
TDW,TIDEWATER INC NEW,4424,2030.0,0.2815991236062474,0.9886563900630196,20,0.04,0.039861150338389426,0.0,US Housing & Consumer,HOMZ
BECN,BEACON ROOFING SUPPLY INC,5033,2020.0,0.30048325388643105,0.9885799925716706,21,0.04,0.03985807010554134,0.0,US Housing & Consumer,HOMZ
LECO,LINCOLN ELECTRIC HOLDINGS INC,3540,2010.0,0.6115254715973097,0.9882836550958779,22,0.04,0.03984612222072292,0.0,US Housing & Consumer,HOMZ
WSC,WILLSCOT HOLDINGS CORP,9999,2020.0,0.3328953516480363,0.9882410411243848,23,0.04,0.03984440408898243,0.0,US Housing & Consumer,HOMZ
COLM,COLUMBIA SPORTSWEAR CO,5130,2020.0,0.3156935089344357,0.9882148820080507,24,0.04,0.03984334939244742,0.0,US Housing & Consumer,HOMZ
AIZ,ASSURANT INC,6331,4030.0,0.2342947308282718,0.988169661470959,25,0.04,0.03984152616787161,0.0,US Housing & Consumer,HOMZ
GPN,GLOBAL PAYMENTS INC,7389,2020.0,0.20580043853753394,0.998578749175609,1,0.04,0.04065414144863511,0.0,Bio-Economy & Longevity,AGNG
VMW,VMWARE INC,7372,4510.0,0.20743842507168986,0.9974233598828638,2,0.04,0.04060710323580084,0.0,Bio-Economy & Longevity,AGNG
WEN,WENDYS CO,5812,2550.0,0.1418823586547826,0.9958215211018492,3,0.04,0.040541889169874605,0.0,Bio-Economy & Longevity,AGNG
PANW,PALO ALTO NETWORKS INC,7371,4510.0,0.26541037017102365,0.9920999742714361,4,0.04,0.040390377542598103,0.0,Bio-Economy & Longevity,AGNG
UI,UBIQUITI INC,7373,4510.0,0.24125152147796025,0.9885409781509924,5,0.04,0.04024548368038132,0.036433842504865505,Bio-Economy & Longevity,AGNG
RH,R H,5712,2520.0,0.34421924011467764,0.9880597645427704,6,0.04,0.04022589251031905,0.36016959674564614,Bio-Economy & Longevity,AGNG
KBR,K B R INC,1629,2010.0,0.2920310825117167,0.9868337890076274,7,0.04,0.04017598059014308,0.0,Bio-Economy & Longevity,AGNG
BCPC,BALCHEM CORP,2800,1510.0,0.1613890846852305,0.986531729488747,8,0.04,0.04016368314197827,0.0,Bio-Economy & Longevity,AGNG
IBKR,INTERACTIVE BROKERS GROUP INC,6211,4020.0,0.2094388951969991,0.9862591143864602,9,0.04,0.04015258443500243,0.0,Bio-Economy & Longevity,AGNG
SIRI,SIRIUS X M HOLDINGS INC NEW,4832,5010.0,0.42804580410692794,0.9848558867447825,10,0.04,0.04009545622645954,0.0,Bio-Economy & Longevity,AGNG
PXP,PLAINS EXPLORATION & PROD CO,1311,1510.0,0.2545354967724033,0.9829388129752978,11,0.04,0.040017408312605536,0.0,Bio-Economy & Longevity,AGNG
ZEN,ZENDESK INC,7372,4510.0,0.34108067411331966,0.9820239976672234,12,0.04,0.039980164348657234,0.0,Bio-Economy & Longevity,AGNG
CSOD,CORNERSTONE ONDEMAND INC,9999,2020.0,0.4819529651253295,0.9813926950056997,13,0.04,0.039954462752544086,0.0,Bio-Economy & Longevity,AGNG
